`id_partido`; `id_temporada`;num_jornada; `ds_dia_semana`; `fe_fecha`;ds_hora; `id_equipo_local`;ds_nombre_local; `id_equipo_visitante`;ds_nombre_visitante; `ct_odds_local`; `ct_odds_empate`; `ct_odds_visitante`; `ct_goles_local`; `ct_goles_visitante`;BTTS; `ct_xg_local`; `ct_xg_visitante`; `ct_asistencia`; `ds_estadio_partido`; `ds_arbitro`;Entrenador local;Entrenador visitante; `ct_possesion_local`; `ct_possesion_visitante`; `num_remates_local`; `num_remates_visitante`; `num_remates_puerta_local`; `num_remates_puerta_visitante`; `num_remates_fuera_local`; `num_remates_fuera_visitante`; `num_tarjetas_local`; `num_tarjetas_visitante`; `num_corners_local_1p`; `num_corners_visitante_1p`; `num_corners_local_2p`; `num_corners_visitante_2p`;Total corners; `num_faltas_local`; `num_faltas_visitante`; `num_fueras_juego_local`; `num_fueras_juego_visitante`;Tajerata roja local;Tajerata roja visitante;Minuto primera tarjeta roja; `ds_formacion_local`; `ds_formacion_visitante`; `m_gol_1_loc`; `m_gol_2_loc`; `m_gol_3_loc`; `m_gol_4_loc`; `m_gol_5_loc`; `m_gol_6_loc`; `m_gol_7_loc`; `m_gol_8_loc`; `m_gol_9_loc`; `m_gol_10_loc`; `m_gol_11_loc`; `m_gol_12_loc`; `m_gol_1_vis`; `m_gol_2_vis`; `m_gol_3_vis`; `m_gol_4_vis`; `m_gol_5_vis`; `m_gol_6_vis`; `m_gol_7_vis`; `m_gol_8_vis`; `m_gol_9_vis`; `m_gol_10_vis`; `m_gol_11_vis`; `m_gol_12_vis`
1;2024-2025;1;jueves;15/08/2024;19:00;1;Athletic Club;2;Getafe;1.41;4.06;6.85;1;1;1;0.83;0.73;47845;San Mam√©s;Alejandro Mu√±√≠z;Ernesto Valverde;Pepe Bordalas;69;31;5;7;4;2;1;5;4;1;0;1;5;5;11;15;12;2;6;;;;4-2-3-1;4-1-4-1;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;64;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;2024-2025;1;jueves;15/08/2024;21:30;3;Real Betis;4;Girona;2.73;3.12;2.42;1;1;1;1.46;1.13;54084;Estadio Benito Villamar√≠n;Miguel √Ångel Ortiz Arias;Manuel Pellegrini;Michel;39;61;19;13;4;2;15;11;2;0;3;1;1;3;8;11;7;1;3;;;;4-2-3-1;4-4-3;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;72;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2024-2025;1;viernes;16/08/2024;19:00;5;Celta Vigo;6;AlavÈs;1.92;3.44;4.12;2;1;1;0.94;0.85;22477;Estadio Abanca Bala√≠dos;Alejandro Quintero;Claudio Giraldez;Luis Garcia;64;36;6;10;4;2;2;8;2;2;1;1;2;2;6;8;23;4;3;;;;4-4-2;4-2-3-1;66;84;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4;2024-2025;1;viernes;16/08/2024;21:30;7;Las Palmas;8;Sevilla;2.85;3.14;2.61;2;2;1;1.31;1.57;24843;Estadio de Gran Canaria;Francisco Hern√°ndez;Luis Miguel Carrion;Garcia Pimienta;48;52;11;15;5;5;6;10;2;2;3;3;3;0;9;14;15;1;2;;;;4-2-3-1;4-5-1;42;71;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;25;61;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;2024-2025;1;sabado;17/08/2024;19:00;9;Osasuna;10;LeganÈs;1.65;3.9;5.25;1;1;1;1.70;0.81;19561;Estadio El Sadar;Juan Pulido;Vicente Moreno;Borja Jimenez;61;39;12;6;6;4;6;2;3;2;0;3;6;1;10;14;12;1;2;;;;4-4-3;4-2-3-1;79;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;2024-2025;1;sabado;17/08/2024;21:30;11;Valencia;12;Barcelona;4.20;3.70;1.67;1;2;1;0.73;1.49;46673;Estadio de Mestalla;Jose Maria S√°nchez;Ruben Baraja;Hans-Dieter Flick;36;64;5;12;2;6;3;6;2;3;1;3;2;5;11;11;13;7;1;;;;4-4-2;4-2-3-1;44;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45+6;49;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7;2024-2025;1;domingo;18/08/2024;19:00;13;Real Sociedad;14;Rayo Vallecano;1.51;3.56;6.45;1;2;1;1.23;1.19;31763;Reale Arena;Alejandro Hern√°ndez;Imanol Alguacil;Inigo PÈrez;66;34;9;9;4;5;5;4;2;4;5;4;5;1;15;14;21;0;3;;;;4-4-2;4-4-2;90+8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;67;84;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;2024-2025;1;domingo;18/08/2024;21:30;15;Mallorca;16;Real Madrid;4.54;3.38;1.71;1;1;1;1.38;1.45;2301;Estadi Mallorca Son Moix;C√©sar Soto;Jagoba Arrasate;Carlo Ancelotti;34;66;11;10;5;5;6;5;1;2;6;3;2;4;15;11;6;0;0;;1;90+7;4-2-3-1;4-1-2-3;53;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;2024-2025;1;lunes;19/08/2024;19:00;17;Valladolid;18;Espanyol;2.4;3.15;3.15;1;0;0;0.80;0.66;22027;Estadio Municipal Jos√© Zorrilla;Pablo Gonz√°lez;Paulo Pezzolano;Manolo Gonzalez;45;55;12;10;1;2;11;8;2;2;2;1;1;1;5;15;8;6;1;;;;4-5-1;5-3-2;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;2024-2025;1;lunes;19/08/2024;21:30;19;Villarreal;20;AtlÈtico Madrid;2.95;3.45;2.36;2;2;1;0.79;1.11;21566;Estadio de la Cer√°mica;Guillermo Cuadra;Marcelino Garcia;Diego Simeone;45;55;9;9;3;4;6;5;1;3;1;1;1;2;5;7;12;2;2;;;;4-4-2;3-5-2;18;37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;20;45+5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11;2024-2025;2;viernes;23/08/2024;19:00;5;Celta Vigo;11;Valencia;2.10;3.20;3.80;3;1;1;1.32;0.93;23519;Estadio Abanca Bala√≠dos;Jos√© Luis Munuera;Claudio Giraldez;Ruben Baraja;49;51;7;13;5;5;2;8;3;0;1;3;3;4;11;9;11;2;1;;;;3-4-2-1;4-4-2;22;27;60;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
